time (s)	magX	magY	magZ
11219.457606	-39.137344	401.787262	-394.690796
11219.460970	-38.026886	399.507874	-382.884827
11219.464273	-37.500877	397.286957	-371.254211
11219.467605	-36.974869	395.533600	-359.214478
11219.470936	-36.682644	392.435974	-348.226746
11219.474266	-35.455292	389.630615	-337.063721
11219.477603	-34.344826	386.123901	-326.601990
11219.480938	-33.818817	383.260071	-315.848022
11219.484264	-33.468147	379.402679	-306.263000
11219.488888	-31.831676	372.915253	-287.092926
11219.491806	-31.247223	368.239624	-278.501465
11219.495260	-30.312098	365.142029	-269.676208
11219.498544	-29.727644	360.758636	-260.850952
11219.501418	-29.786089	356.608978	-251.791946
11219.504734	-28.792519	353.452942	-243.609573
11219.508023	-28.441847	349.127991	-235.427231
11219.511376	-27.682056	344.919922	-226.543549
11219.514260	-27.097603	340.185852	-218.828766
11219.517598	-26.220922	337.088257	-213.159561
11219.520925	-26.279367	333.289307	-205.561661
11219.524260	-26.162477	327.970764	-199.015778
11219.527597	-25.344242	324.171844	-192.353012
11219.530925	-25.227352	319.613068	-185.982468
11219.534259	-24.526009	315.521912	-179.611908
11219.537589	-24.175337	311.956757	-173.299820
11219.540919	-23.006428	307.807129	-167.455292
11219.544260	-23.298655	303.423737	-162.428986
11219.547614	-22.538866	299.215668	-156.818237
11219.550930	-22.305084	296.293396	-151.499710
11219.554272	-21.720631	291.267090	-147.233200
11219.557589	-21.253067	287.117462	-141.622437
11219.560927	-21.019287	283.493866	-137.355927
11219.564262	-20.551723	279.344238	-132.563416
11219.567595	-19.850380	275.837524	-128.589142
11219.570925	-19.850380	272.155457	-124.030388
11219.574258	-19.675043	268.648743	-120.465225
11219.577592	-19.032145	265.375793	-115.906487
11219.580923	-18.739918	260.992401	-112.691994
11219.585126	-18.506136	254.738739	-105.269440
11219.588454	-17.804792	251.991806	-101.704269
11219.591867	-17.746347	248.368195	-99.308006
11219.595164	-17.161894	245.153702	-95.099945
11219.598054	-16.928112	241.997650	-92.703682
11219.601344	-17.337229	239.016937	-89.606079
11219.604676	-16.343658	236.211563	-87.618942
11219.608005	-16.928112	233.055527	-82.767975
11219.610925	-16.051432	229.841019	-80.956169
11219.614251	-16.285213	226.860321	-77.975456
11219.617589	-15.642315	224.405609	-76.572769
11219.620922	-15.350088	221.717133	-73.592056
11219.624251	-15.057861	218.502625	-71.312683
11219.627582	-15.408533	216.457047	-69.617767
11219.630915	-14.648743	213.300995	-67.513733
11219.634251	-14.356516	210.612488	-65.877266
11219.637582	-14.122736	208.508469	-64.299240
11219.640920	-13.888954	205.878433	-62.019871
11219.644245	-13.830509	204.008179	-60.324959
11219.647582	-13.772064	201.144363	-58.045589
11219.650915	-14.181181	198.981873	-56.058445
11219.654250	-13.304501	196.760956	-54.012859
11219.657580	-13.772064	194.773819	-52.201054
11219.660912	-13.304501	192.494446	-50.856812
11219.664247	-12.661602	190.448853	-49.278786
11219.667577	-12.720047	188.578598	-47.992989
11219.670910	-12.836937	187.000580	-46.940971
11219.674248	-12.310928	185.247223	-44.720047
11219.677612	-12.135593	183.435410	-43.142021
11219.681776	-12.018703	179.461121	-41.447105
11219.685154	-11.726477	177.707779	-40.395092
11219.688506	-12.194038	176.246643	-39.459969
11219.691828	-11.960257	174.551727	-37.706604
11219.694672	-11.551140	172.798355	-37.180595
11219.698014	-12.018703	171.395660	-35.777908
11219.701330	-11.492695	169.992981	-34.901230
11219.704667	-11.142021	168.531860	-34.725891
11219.707575	-11.375803	167.596725	-33.440094
11219.710913	-11.200467	165.609589	-32.388077
11219.714244	-11.142021	164.616013	-31.569843
11219.717577	-11.200467	163.037979	-30.576273
11219.720928	-10.440678	161.927521	-30.108709
11219.724241	-10.966686	160.583282	-29.348921
11219.727580	-10.616014	160.057281	-28.881355
11219.730908	-10.616014	158.479248	-27.712450
11219.734241	-10.966686	158.362366	-27.537113
11219.737575	-10.791349	156.667435	-27.069551
11219.740902	-10.674459	156.258331	-26.309761
11219.744242	-10.674459	155.089417	-25.608418
11219.747575	-10.440678	153.745163	-24.907074
11219.750910	-10.090006	152.810043	-25.374636
11219.754238	-10.090006	152.634705	-24.205730
11219.757569	-9.797779	151.465805	-23.913504
11219.760906	-10.031561	150.764465	-23.855057
11219.764274	-10.265342	149.770889	-22.744596
11219.767570	-9.271770	149.127991	-22.569260
11219.770902	-9.914670	148.192871	-22.569260
11219.774236	-9.680889	148.192871	-21.458797
11219.778495	-9.563997	146.439499	-20.582115
11219.781813	-9.505552	146.790176	-20.172997
11219.785164	-9.271770	145.971939	-20.465225
11219.788442	-9.680889	145.679718	-20.699005
11219.791320	-9.388661	145.212158	-20.640560
11219.794661	-9.096435	144.861481	-19.997662
11219.797986	-9.330215	144.218582	-19.296318
11219.801340	-9.330215	144.043243	-19.237873
11219.804227	-9.096435	143.517242	-19.004093
11219.807590	-9.622443	143.049683	-19.763882
11219.810900	-9.154881	142.874344	-19.237873
11219.814235	-9.271770	142.757446	-19.062538
11219.817562	-8.804209	142.056107	-18.536530
11219.820892	-9.154881	142.815887	-19.062538
11219.824302	-8.862654	141.997650	-18.594975
11219.827561	-8.862654	142.173004	-19.179428
11219.830898	-8.804209	142.231430	-19.062538
11219.834229	-9.096435	142.640564	-19.062538
11219.837567	-8.745763	142.173004	-18.478085
11219.840896	-9.213326	142.056107	-18.770309
11219.844224	-8.921099	142.757446	-18.419640
11219.847566	-9.096435	142.932785	-18.945648
11219.850929	-9.096435	142.699005	-18.653419
11219.854227	-9.096435	143.341904	-19.646992
11219.857556	-9.563997	143.692566	-19.530098
11219.860894	-8.804209	143.166565	-19.354763
11219.864228	-9.154881	144.043243	-20.231445
11219.867558	-8.628872	144.277039	-20.056107
11219.870896	-8.219754	144.277039	-20.874344
11219.875144	-8.511982	144.686142	-20.699005
11219.878475	-8.745763	145.036804	-20.991234
11219.881781	-8.628872	146.322617	-21.575687
11219.885067	-8.745763	147.023956	-21.400349
11219.888404	-8.628872	147.316193	-22.803041
11219.891320	-8.570427	147.316193	-21.809467
11219.894665	-8.511982	148.017532	-22.277033
11219.897995	-8.511982	148.894211	-23.270603
11219.901338	-8.570427	149.887787	-23.212158
11219.904219	-8.278200	150.180008	-23.679722
11219.907562	-8.336645	150.998245	-24.790182
11219.910885	-8.862654	151.524246	-24.673292
11219.914220	-8.979544	152.693161	-25.316191
11219.917556	-8.278200	153.628281	-25.491528
11219.920882	-8.511982	153.803619	-26.075981
11219.924251	-8.395090	154.855637	-26.426653
11219.927554	-8.979544	156.433655	-26.485098
11219.930886	-8.161309	156.608994	-27.478668
11219.934222	-8.570427	158.070129	-28.530684
11219.937568	-8.687317	159.063705	-29.173584
11219.940887	-8.395090	159.765045	-29.524256
11219.944222	-8.453535	161.343063	-31.043835
11219.947550	-8.395090	162.278198	-29.991819
11219.950889	-8.687317	163.330215	-31.862070
11219.954215	-8.921099	164.616013	-31.394506
11219.957547	-8.921099	166.369370	-33.147865
11219.960880	-8.395090	167.479828	-33.440094
11219.964213	-8.979544	168.590286	-35.310349
11219.967592	-9.037990	170.811218	-35.661018
11219.970881	-9.680889	171.746338	-37.180595
11219.974218	-9.680889	173.382812	-37.998833
11219.978861	-9.271770	176.188187	-39.576859
11219.981754	-9.037990	178.116882	-41.213326
11219.985081	-8.745763	179.402679	-42.206898
11219.988414	-9.096435	181.448273	-43.142021
11219.991331	-9.096435	183.552307	-44.252487
11219.994664	-9.271770	185.539444	-45.830509
11219.998012	-9.213326	187.000580	-47.583870
11220.001311	-9.037990	188.929276	-48.986557
11220.004210	-9.037990	191.617752	-50.623028
11220.007543	-9.096435	193.546463	-51.791935
11220.010900	-8.745763	195.299820	-53.603741
11220.014217	-9.271770	197.988297	-55.649330
11220.017542	-8.921099	200.033905	-57.636471
11220.020882	-9.388661	202.313263	-59.506721
11220.024215	-9.447107	204.300415	-60.967857
11220.027542	-9.388661	207.105789	-62.838108
