time (s)	det(V)
5395.907253	0.002842	
5395.908880	0.000522	
5395.910471	0.001331	
5395.912105	0.001090	
5395.913698	0.001561	
5395.915312	-0.001021	
5395.916978	-0.002504	
5395.918558	0.000510	
5395.920224	-0.001307	
5395.921800	-0.001883	
5395.923483	-0.000884	
5395.925070	0.006028	
5395.926719	0.001126	
5395.928274	0.002109	
5395.929968	0.002206	
5395.931508	0.003104	
5395.933220	-0.003539	
5395.934710	0.000985	
5395.936485	0.001533	
5395.937968	-0.000913	
5395.939731	-0.002858	
5395.941217	0.007889	
5395.942996	0.002149	
5395.944487	0.002177	
5395.946064	0.002487	
5395.947593	0.005146	
5395.949133	-0.001388	
5395.950709	0.001424	
5395.952200	0.002959	
5395.953856	0.001186	
5395.955360	0.001593	
5395.957006	0.002512	
5395.958502	0.005871	
5395.960210	0.002000	
5395.961696	0.004264	
5395.963426	0.004006	
5395.964903	0.005952	
5395.966617	-0.000594	
5395.968102	0.002326	
5395.969802	0.002234	
5395.971280	0.000932	
5395.972980	-0.002431	
5395.974462	0.010129	
5395.976214	0.002858	
5395.977713	0.004030	
5395.979449	0.004183	
5395.980956	0.010161	
5395.982685	-0.003599	
5395.984203	0.003305	
5395.985920	0.002435	
5395.987453	0.001722	
5395.989125	0.000356	
5395.990685	0.007942	
5395.992365	0.005194	
5395.993929	0.003777	
5395.995601	0.004884	
5395.997192	0.004868	
5395.998837	0.002653	
5396.000439	0.004054	
5396.002059	0.005561	
5396.003671	0.004220	
5396.005283	0.003587	
5396.006958	0.006169	
5396.008555	0.007402	
5396.010225	0.004224	
5396.011815	0.006459	
5396.013475	0.006709	
5396.015042	0.005754	
5396.016750	0.000397	
5396.018286	0.005251	
5396.019982	0.003921	
5396.021534	0.004558	
5396.023254	0.003575	
5396.024774	0.010580	
5396.026501	0.006109	
5396.027988	0.006411	
5396.029755	0.008993	
5396.031240	0.009980	
5396.033017	0.000135	
5396.034495	0.005839	
5396.036264	0.005791	
5396.037739	0.006310	
5396.039472	0.001239	
5396.040975	0.014613	
5396.042698	0.006677	
5396.044222	0.008236	
5396.045930	0.008191	
5396.047454	0.009646	
5396.048975	0.005412	
5396.050590	0.005758	
5396.052083	0.007877	
5396.053702	0.007059	
5396.055219	0.006081	
5396.056848	0.007885	
5396.058337	0.011531	
5396.059962	0.008212	
5396.061457	0.009235	
5396.063171	0.011845	
5396.064658	0.013819	
5396.066357	0.003607	
5396.067836	0.008643	
5396.069523	0.008107	
5396.071020	0.007837	
5396.072684	0.003922	
5396.074215	0.017380	
5396.075845	0.010137	
5396.077404	0.010496	
5396.079077	0.011966	
5396.080643	0.012385	
5396.082308	0.007321	
5396.083889	0.010492	
5396.085539	0.010178	
5396.087128	0.010447	
5396.088762	0.009783	
5396.090376	0.011861	
5396.091979	0.013481	
5396.093631	0.009110	
5396.095201	0.012852	
5396.096873	0.013380	
5396.098449	0.012679	
5396.100119	0.009469	
5396.101684	0.012172	
5396.103377	0.010701	
5396.104920	0.010435	
5396.106631	0.011334	
5396.108163	0.018057	
5396.109868	0.012591	
5396.111373	0.013529	
5396.113115	0.014311	
5396.114597	0.017719	
5396.116361	0.010327	
5396.117858	0.015463	
5396.119613	0.013557	
5396.121091	0.010705	
5396.122874	0.008606	
5396.124370	0.022065	
5396.126122	0.015785	
5396.127624	0.014298	
5396.129346	0.015600	
5396.130874	0.019833	
5396.132599	0.006508	
5396.134129	0.014085	
5396.135821	0.015676	
5396.137360	0.013098	
5396.139049	0.012852	
5396.140622	0.019173	
5396.142303	0.017654	
5396.143886	0.015833	
5396.145534	0.017988	
5396.147150	0.018105	
5396.148656	0.017549	
5396.150293	0.014697	
5396.151775	0.019322	
5396.153407	0.016760	
5396.154888	0.018133	
5396.156518	0.018113	
5396.158018	0.025638	
5396.159632	0.019902	
5396.161136	0.020595	
5396.162708	0.020345	
5396.164231	0.024591	
5396.165861	0.014826	
5396.167397	0.020478	
5396.169008	0.018991	
5396.170583	0.016969	
5396.172171	0.018999	
5396.173781	0.020015	
5396.175318	0.022536	
5396.176968	0.020635	
5396.178550	0.020969	
5396.180214	0.023306	
5396.181788	0.021098	
5396.183478	0.016244	
5396.185048	0.019680	
5396.186733	0.018440	
5396.188297	0.018617	
5396.190009	0.017646	
5396.191539	0.022673	
5396.193257	0.019793	
5396.194792	0.018117	
5396.196522	0.018830	
5396.198030	0.018995	
5396.199782	0.014681	
